ID,Timestamp,X,Y,Z
2807,2024-09-06 14:06:31.052+00:00,0.251,-0.213,10.101
2807,2024-09-06 14:06:31.212+00:00,0.292,-0.182,10.094
2807,2024-09-06 14:06:31.376+00:00,0.287,-0.213,10.137
2807,2024-09-06 14:06:31.533+00:00,0.263,-0.23,10.123
2807,2024-09-06 14:06:31.696+00:00,0.29,-0.201,10.111
2807,2024-09-06 14:06:31.856+00:00,0.275,-0.206,10.171
2807,2024-09-06 14:06:32.013+00:00,0.249,-0.172,10.111
2807,2024-09-06 14:06:32.176+00:00,0.287,-0.134,10.101
2807,2024-09-06 14:06:32.332+00:00,0.28,-0.211,10.101
2807,2024-09-06 14:06:32.495+00:00,0.22,-0.172,10.127
2807,2024-09-06 14:06:32.653+00:00,0.283,-0.184,10.125
2807,2024-09-06 14:06:32.813+00:00,0.242,-0.177,10.106
2807,2024-09-06 14:06:32.973+00:00,0.259,-0.256,10.123
2807,2024-09-06 14:06:33.135+00:00,0.29,-0.201,10.116
2807,2024-09-06 14:06:33.296+00:00,0.263,-0.206,10.096
2807,2024-09-06 14:06:33.452+00:00,0.268,-0.227,10.111
2807,2024-09-06 14:06:33.614+00:00,0.232,-0.218,10.094
2807,2024-09-06 14:06:33.774+00:00,0.285,-0.22,10.099
2807,2024-09-06 14:06:33.932+00:00,0.266,-0.237,10.104
2807,2024-09-06 14:06:34.093+00:00,0.239,-0.201,10.104
2807,2024-09-06 14:06:34.252+00:00,0.278,-0.189,10.106
2807,2024-09-06 14:06:34.414+00:00,0.235,-0.213,10.096
2807,2024-09-06 14:06:34.576+00:00,0.278,-0.196,10.106
2807,2024-09-06 14:06:34.732+00:00,0.254,-0.196,10.099
2807,2024-09-06 14:06:34.896+00:00,0.263,-0.208,10.116
2807,2024-09-06 14:06:35.053+00:00,0.256,-0.141,10.127
2807,2024-09-06 14:06:35.215+00:00,0.266,-0.199,10.108
2807,2024-09-06 14:06:35.370+00:00,0.302,-0.192,10.104
2807,2024-09-06 14:06:35.530+00:00,0.259,-0.213,10.092
2807,2024-09-06 14:06:35.692+00:00,0.268,-0.168,10.099
2807,2024-09-06 14:06:35.855+00:00,0.287,-0.201,10.118
2807,2024-09-06 14:06:36.016+00:00,0.239,-0.184,10.108
2807,2024-09-06 14:06:36.176+00:00,0.278,-0.227,10.082
2807,2024-09-06 14:06:36.336+00:00,0.242,-0.196,10.101
2807,2024-09-06 14:06:36.492+00:00,0.275,-0.218,10.082
2807,2024-09-06 14:06:36.654+00:00,0.187,-0.196,10.116
2807,2024-09-06 14:06:36.812+00:00,0.311,-0.22,10.084
2807,2024-09-06 14:06:36.976+00:00,0.239,-0.187,10.104
2807,2024-09-06 14:06:37.134+00:00,0.215,-0.311,10.094
2807,2024-09-06 14:06:37.296+00:00,0.266,-0.297,10.072
2807,2024-09-06 14:06:37.452+00:00,0.316,-0.187,10.13
2807,2024-09-06 14:06:37.612+00:00,0.35,-0.244,10.044
2807,2024-09-06 14:06:37.774+00:00,0.29,-0.28,10.113
2807,2024-09-06 14:06:37.932+00:00,0.311,-0.153,10.123
2807,2024-09-06 14:06:38.096+00:00,0.35,-0.299,10.144
2807,2024-09-06 14:06:38.256+00:00,0.259,-0.237,10.123
2807,2024-09-06 14:06:38.412+00:00,0.273,-0.204,10.113
2807,2024-09-06 14:06:38.576+00:00,0.306,-0.22,10.08
2807,2024-09-06 14:06:38.732+00:00,0.225,-0.225,10.125
2807,2024-09-06 14:06:38.896+00:00,0.273,-0.29,10.113
2807,2024-09-06 14:06:39.055+00:00,0.275,-0.215,10.125
2807,2024-09-06 14:06:39.216+00:00,0.259,-0.227,10.147
2807,2024-09-06 14:06:39.376+00:00,0.4,-0.113,10.092
2807,2024-09-06 14:06:39.533+00:00,0.328,-0.184,10.089
2807,2024-09-06 14:06:39.692+00:00,0.199,-0.163,10.113
2807,2024-09-06 14:06:39.856+00:00,0.23,-0.18,10.123
2807,2024-09-06 14:06:40.014+00:00,0.268,-0.237,10.096
2807,2024-09-06 14:06:40.176+00:00,0.242,-0.297,10.087
2807,2024-09-06 14:06:40.335+00:00,0.132,-0.089,10.151
2807,2024-09-06 14:06:40.494+00:00,0.227,-0.33,10.127
2807,2024-09-06 14:06:40.656+00:00,0.244,-0.208,10.092
2807,2024-09-06 14:06:40.814+00:00,0.407,-0.077,10.072
2807,2024-09-06 14:06:40.973+00:00,0.273,-0.086,10.123
2807,2024-09-06 14:06:41.132+00:00,0.206,-0.129,10.132
2807,2024-09-06 14:06:41.294+00:00,0.323,-0.172,10.111
2807,2024-09-06 14:06:41.453+00:00,0.211,-0.266,10.118
2807,2024-09-06 14:06:41.613+00:00,0.232,-0.247,10.132
2807,2024-09-06 14:06:41.771+00:00,0.299,-0.211,10.12
2807,2024-09-06 14:06:41.932+00:00,0.254,-0.146,10.149
2807,2024-09-06 14:06:42.095+00:00,0.184,-0.168,10.099
2807,2024-09-06 14:06:42.256+00:00,0.299,-0.129,10.07
2807,2024-09-06 14:06:42.413+00:00,0.261,-0.156,10.106
2807,2024-09-06 14:06:42.574+00:00,0.055,-0.278,10.099
2807,2024-09-06 14:06:42.733+00:00,0.314,-0.244,10.065
2807,2024-09-06 14:06:42.893+00:00,0.335,-0.192,10.116
2807,2024-09-06 14:06:43.056+00:00,0.223,-0.213,10.118
2807,2024-09-06 14:06:43.216+00:00,0.28,-0.266,10.125
2807,2024-09-06 14:06:43.372+00:00,0.196,-0.067,10.132
2807,2024-09-06 14:06:43.536+00:00,0.235,-0.206,10.125
2807,2024-09-06 14:06:43.696+00:00,0.278,-0.187,10.077
2807,2024-09-06 14:06:43.853+00:00,0.239,-0.156,10.127
2807,2024-09-06 14:06:44.016+00:00,0.263,-0.237,10.127
2807,2024-09-06 14:06:44.172+00:00,0.273,-0.215,10.12
2807,2024-09-06 14:06:44.335+00:00,0.285,-0.208,10.104
2807,2024-09-06 14:06:44.494+00:00,0.254,-0.215,10.087
2807,2024-09-06 14:06:44.656+00:00,0.273,-0.196,10.125
2807,2024-09-06 14:06:44.812+00:00,0.275,-0.194,10.101
2807,2024-09-06 14:06:44.973+00:00,0.28,-0.232,10.096
2807,2024-09-06 14:06:45.135+00:00,0.244,-0.139,10.104
2807,2024-09-06 14:06:45.292+00:00,0.249,-0.218,10.106
2807,2024-09-06 14:06:45.452+00:00,0.304,-0.218,10.07
2807,2024-09-06 14:06:45.613+00:00,0.261,-0.189,10.08
2807,2024-09-06 14:06:45.774+00:00,0.28,-0.225,10.099
2807,2024-09-06 14:06:45.933+00:00,0.259,-0.204,10.104
2807,2024-09-06 14:06:46.096+00:00,0.251,-0.187,10.106
2807,2024-09-06 14:06:46.256+00:00,0.259,-0.189,10.12
2807,2024-09-06 14:06:46.413+00:00,0.275,-0.23,10.118
2807,2024-09-06 14:06:46.575+00:00,0.271,-0.218,10.104
2807,2024-09-06 14:06:46.736+00:00,0.261,-0.16,10.092
2807,2024-09-06 14:06:46.896+00:00,0.292,-0.227,10.101
2807,2024-09-06 14:06:47.056+00:00,0.249,-0.22,10.113
2807,2024-09-06 14:06:47.214+00:00,0.287,-0.218,10.12
2807,2024-09-06 14:06:47.375+00:00,0.259,-0.211,10.092
