ID,Timestamp,X,Y,Z
2808,2024-09-03 11:58:25.976+00:00,-2.185,2.02,9.333
2808,2024-09-03 11:58:25.993+00:00,-2.192,1.998,9.409
2808,2024-09-03 11:58:26.008+00:00,-2.189,1.988,9.459
2808,2024-09-03 11:58:26.025+00:00,-2.259,2.027,9.415
2808,2024-09-03 11:58:26.042+00:00,-2.318,2.067,9.427
2808,2024-09-03 11:58:26.059+00:00,-2.288,2.078,9.481
2808,2024-09-03 11:58:26.075+00:00,-2.265,2.035,9.468
2808,2024-09-03 11:58:26.092+00:00,-2.223,2.02,9.446
2808,2024-09-03 11:58:26.109+00:00,-2.168,2.001,9.456
2808,2024-09-03 11:58:26.125+00:00,-2.142,1.981,9.428
2808,2024-09-03 11:58:26.142+00:00,-2.116,1.962,9.345
2808,2024-09-03 11:58:26.158+00:00,-2.104,1.978,9.288
2808,2024-09-03 11:58:26.175+00:00,-2.113,1.988,9.242
2808,2024-09-03 11:58:26.191+00:00,-2.135,2.003,9.166
2808,2024-09-03 11:58:26.208+00:00,-2.17,2.006,9.168
2808,2024-09-03 11:58:26.224+00:00,-2.14,1.997,9.274
2808,2024-09-03 11:58:26.241+00:00,-2.142,1.99,9.36
2808,2024-09-03 11:58:26.258+00:00,-2.119,2.037,9.419
2808,2024-09-03 11:58:26.274+00:00,-2.088,2.112,9.403
2808,2024-09-03 11:58:26.292+00:00,-2.097,2.144,9.423
2808,2024-09-03 11:58:26.308+00:00,-2.1,2.149,9.564
2808,2024-09-03 11:58:26.325+00:00,-2.185,2.133,9.719
2808,2024-09-03 11:58:26.342+00:00,-2.24,2.142,9.804
2808,2024-09-03 11:58:26.358+00:00,-2.253,2.14,9.834
2808,2024-09-03 11:58:26.375+00:00,-2.293,2.124,9.909
2808,2024-09-03 11:58:26.391+00:00,-2.35,2.101,9.957
2808,2024-09-03 11:58:26.412+00:00,-2.356,2.051,9.846
2808,2024-09-03 11:58:26.578+00:00,-1.966,1.912,8.969
2808,2024-09-03 11:58:26.711+00:00,-2.033,2.167,9.453
2808,2024-09-03 11:58:26.845+00:00,-2.221,2.258,9.469
2808,2024-09-03 11:58:26.978+00:00,-2.262,2.279,9.222
2808,2024-09-03 11:58:27.110+00:00,-2.512,2.408,9.057
2808,2024-09-03 11:58:27.243+00:00,-2.563,2.407,9.209
2808,2024-09-03 11:58:27.377+00:00,-2.679,2.447,9.156
2808,2024-09-03 11:58:27.512+00:00,-2.71,2.433,9.105
2808,2024-09-03 11:58:27.646+00:00,-2.639,2.42,9.115
2808,2024-09-03 11:58:27.776+00:00,-2.759,2.448,9.118
2808,2024-09-03 11:58:27.907+00:00,-2.693,2.397,9.146
2808,2024-09-03 11:58:28.040+00:00,-2.746,2.387,9.114
2808,2024-09-03 11:58:28.172+00:00,-2.8,2.451,8.927
2808,2024-09-03 11:58:28.306+00:00,-2.517,2.253,9.164
