2812,2024-09-10T21:27:23.582+0100,8.272,-4.134,4.709
2812,2024-09-10T21:27:23.590+0100,8.234,-3.669,3.764
2812,2024-09-10T21:27:23.596+0100,8.751,-3.016,2.284
2812,2024-09-10T21:27:23.603+0100,9.402,-2.527,0.924
2812,2024-09-10T21:27:23.608+0100,10.405,-2.436,-0.710
2812,2024-09-10T21:27:23.679+0100,11.277,-2.585,-1.817
2812,2024-09-10T21:27:23.681+0100,11.287,-2.939,-2.595
2812,2024-09-10T21:27:23.684+0100,10.389,-3.126,-2.633
2812,2024-09-10T21:27:23.686+0100,9.615,-3.720,-1.022
2812,2024-09-10T21:27:23.688+0100,9.187,-4.364,1.846
2812,2024-09-10T21:27:23.776+0100,8.658,-4.744,4.357
2812,2024-09-10T21:27:23.779+0100,7.894,-4.416,5.789
2812,2024-09-10T21:27:23.781+0100,7.662,-3.935,4.767
2812,2024-09-10T21:27:23.783+0100,8.239,-3.267,1.913
2812,2024-09-10T21:27:23.786+0100,8.852,-2.769,-1.486
2812,2024-09-10T21:27:23.871+0100,9.172,-2.381,-4.510
2812,2024-09-10T21:27:23.873+0100,9.127,-2.379,-5.494
2812,2024-09-10T21:27:23.876+0100,9.084,-2.635,-4.240
2812,2024-09-10T21:27:23.878+0100,9.546,-3.212,-2.164
2812,2024-09-10T21:27:23.880+0100,10.106,-3.756,0.766
2812,2024-09-10T21:27:23.966+0100,10.142,-4.527,3.833
2812,2024-09-10T21:27:23.969+0100,9.472,-4.804,4.692
2812,2024-09-10T21:27:23.971+0100,8.708,-4.606,2.892
2812,2024-09-10T21:27:23.973+0100,8.382,-3.837,1.039
2812,2024-09-10T21:27:23.975+0100,9.002,-3.021,-0.995
2812,2024-09-10T21:27:24.065+0100,9.232,-2.230,-2.947
2812,2024-09-10T21:27:24.068+0100,8.974,-1.742,-3.854
2812,2024-09-10T21:27:24.070+0100,8.445,-1.644,-3.074
2812,2024-09-10T21:27:24.072+0100,8.445,-2.135,-2.097
2812,2024-09-10T21:27:24.074+0100,8.849,-2.839,-0.241
2812,2024-09-10T21:27:24.157+0100,9.244,-3.394,1.278
2812,2024-09-10T21:27:24.160+0100,10.425,-3.471,1.812
2812,2024-09-10T21:27:24.163+0100,10.954,-3.406,1.271
2812,2024-09-10T21:27:24.165+0100,11.078,-3.298,0.076
2812,2024-09-10T21:27:24.167+0100,11.363,-3.188,-1.386
2812,2024-09-10T21:27:24.256+0100,11.330,-3.294,-1.951
2812,2024-09-10T21:27:24.258+0100,11.033,-3.231,-1.331
2812,2024-09-10T21:27:24.261+0100,10.463,-3.054,-0.550
2812,2024-09-10T21:27:24.263+0100,9.747,-2.654,-0.184
2812,2024-09-10T21:27:24.265+0100,9.163,-2.477,-0.428
2812,2024-09-10T21:27:24.348+0100,8.579,-2.264,0.531
2812,2024-09-10T21:27:24.351+0100,7.441,-2.360,1.068
2812,2024-09-10T21:27:24.353+0100,6.122,-2.855,-0.258
2812,2024-09-10T21:27:24.355+0100,5.042,-3.200,-1.620
2812,2024-09-10T21:27:24.357+0100,5.784,-2.659,-3.296
2812,2024-09-10T21:27:24.444+0100,7.523,-2.786,-5.573
2812,2024-09-10T21:27:24.447+0100,7.592,-2.810,-5.686
2812,2024-09-10T21:27:24.450+0100,7.604,-2.954,-4.144
2812,2024-09-10T21:27:24.452+0100,7.664,-3.787,-2.348
2812,2024-09-10T21:27:24.454+0100,8.847,-4.467,-2.056
2812,2024-09-10T21:27:24.538+0100,11.533,-4.424,1.099
2812,2024-09-10T21:27:24.541+0100,11.904,-4.199,5.107
2812,2024-09-10T21:27:24.543+0100,10.374,-4.639,5.461
2812,2024-09-10T21:27:24.545+0100,9.012,-5.001,2.226
2812,2024-09-10T21:27:24.547+0100,7.942,-4.378,-0.203
2812,2024-09-10T21:27:24.633+0100,7.116,-5.001,-4.766
2812,2024-09-10T21:27:24.637+0100,6.934,-5.403,-7.556
2812,2024-09-10T21:27:24.639+0100,7.262,-5.238,-7.230
2812,2024-09-10T21:27:24.641+0100,8.282,-5.130,-5.267
2812,2024-09-10T21:27:24.644+0100,10.676,-4.972,-2.906
2812,2024-09-10T21:27:24.730+0100,12.110,-4.735,0.239
2812,2024-09-10T21:27:24.733+0100,10.899,-4.733,3.289
2812,2024-09-10T21:27:24.735+0100,8.945,-5.769,2.708
2812,2024-09-10T21:27:24.737+0100,7.013,-5.231,0.644
2812,2024-09-10T21:27:24.740+0100,5.947,-5.089,-3.485
2812,2024-09-10T21:27:24.825+0100,6.074,-4.663,-5.908
2812,2024-09-10T21:27:24.827+0100,7.549,-4.196,-6.277
2812,2024-09-10T21:27:24.829+0100,8.061,-4.175,-3.861
2812,2024-09-10T21:27:24.831+0100,8.318,-4.323,-2.439
2812,2024-09-10T21:27:24.834+0100,9.177,-4.519,-1.963
2812,2024-09-10T21:27:24.922+0100,9.256,-4.412,0.095
2812,2024-09-10T21:27:24.924+0100,8.373,-4.510,1.350
2812,2024-09-10T21:27:24.927+0100,7.554,-5.695,0.337
2812,2024-09-10T21:27:24.929+0100,7.262,-5.817,-0.591
2812,2024-09-10T21:27:24.931+0100,7.159,-5.719,-2.192
2812,2024-09-10T21:27:25.015+0100,7.492,-6.195,-4.625
2812,2024-09-10T21:27:25.018+0100,8.107,-6.320,-6.028
2812,2024-09-10T21:27:25.020+0100,8.595,-6.411,-5.765
2812,2024-09-10T21:27:25.022+0100,8.550,-6.294,-4.089
2812,2024-09-10T21:27:25.024+0100,9.395,-6.250,-2.738
